السؤال,التفسير,topic_islamqa
ما هي منزلة من يقتل في سبيل الله؟,"ولا تقولوا لمن يقتل في سبيل الله أموات بل أحياء ولكن لا تشعرون. ولنبلونكم بشيء من الخوف والجوع ونقص من الأموال والأنفس والثمرات وبشر الصابرين. الذين إذا أصابتهم مصيبة قالوا إنا لله وإنا إليه راجعون. أولئك عليهم صلوات من ربهم ورحمة وأولئك هم المهتدون.

الإجابة: لا تقولوا لمن يقتل في سبيل الله أموات بل أحياء",العقيدة
من هم الاسباط؟,"ومن قوم موسى أمة يهدون بالحق وبه يعدلون. وقطعناهم اثنتي عشرة أسباطا أمما وأوحينا إلى موسى إذ استسقاه قومه أن اضرب بعصاك الحجر فانبجست منه اثنتا عشرة عينا قد علم كل أناس مشربهم وظللنا عليهم الغمام وأنزلنا عليهم المن والسلوى كلوا من طيبات ما رزقناكم وما ظلمونا ولكن كانوا أنفسهم يظلمون. وإذ قيل لهم اسكنوا هذه القرية وكلوا منها حيث شئتم وقولوا حطة وادخلوا الباب سجدا نغفر لكم خطيئاتكم سنزيد المحسنين. فبدل الذين ظلموا منهم قولا غير الذي قيل لهم فأرسلنا عليهم رجزا من السماء بما كانوا يظلمون.

الإجابة: من قوم موسى أمة يهدون بالحق وبه يعدلون. وقطعناهم اثنتي عشرة أسباطا أمما",الحديث وعلومه
ما هي معجزات النبي موسى عليه السلام؟,"وإذ استسقى موسى لقومه فقلنا اضرب بعصاك الحجر فانفجرت منه اثنتا عشرة عينا قد علم كل أناس مشربهم كلوا واشربوا من رزق الله ولا تعثوا في الأرض مفسدين. وإذ قلتم يا موسى لن نصبر على طعام واحد فادع لنا ربك يخرج لنا مما تنبت الأرض من بقلها وقثائها وفومها وعدسها وبصلها قال أتستبدلون الذي هو أدنى بالذي هو خير اهبطوا مصرا فإن لكم ما سألتم وضربت عليهم الذلة والمسكنة وباءوا بغضب من الله ذلك بأنهم كانوا يكفرون بآيات الله ويقتلون النبيين بغير الحق ذلك بما عصوا وكانوا يعتدون. إن الذين آمنوا والذين هادوا والنصارى والصابئين من آمن بالله واليوم الآخر وعمل صالحا فلهم أجرهم عند ربهم ولا خوف عليهم ولا هم يحزنون.

الإجابة: إذ استسقى موسى لقومه فقلنا اضرب بعصاك الحجر فانفجرت منه اثنتا عشرة عينا",العقيدة
كم نام أهل الكهف؟,"ولبثوا في كهفهم ثلاث مائة سنين وازدادوا تسعا. قل الله أعلم بما لبثوا له غيب السماوات والأرض أبصر به وأسمع ما لهم من دونه من ولي ولا يشرك في حكمه أحدا.

الإجابة: ثلاث مائة سنين وازدادوا تسعا",قضايا اجتماعية ونفسية
هل يجب ذكر اسم الله على المأكل والمشرب؟,"يسألونك ماذا أحل لهم قل أحل لكم الطيبات وما علمتم من الجوارح مكلبين تعلمونهن مما علمكم الله فكلوا مما أمسكن عليكم واذكروا اسم الله عليه واتقوا الله إن الله سريع الحساب. اليوم أحل لكم الطيبات وطعام الذين أوتوا الكتاب حل لكم وطعامكم حل لهم والمحصنات من المؤمنات والمحصنات من الذين أوتوا الكتاب من قبلكم إذا آتيتموهن أجورهن محصنين غير مسافحين ولا متخذي أخدان ومن يكفر بالإيمان فقد حبط عمله وهو في الآخرة من الخاسرين.

الإجابة: كلوا مما أمسكن عليكم واذكروا اسم الله عليه",الفقه وأصوله
لماذا لم يتم حذف الآيات المنسوخة من القرآن؟,"ما ننسخ من آية أو ننسها نأت بخير منها أو مثلها ألم تعلم أن الله على كل شيء قدير. ألم تعلم أن الله له ملك السماوات والأرض وما لكم من دون الله من ولي ولا نصير. أم تريدون أن تسألوا رسولكم كما سئل موسى من قبل ومن يتبدل الكفر بالإيمان فقد ضل سواء السبيل.

الإجابة: ما ننسخ من آية أو ننسها نأت بخير منها أو مثلها",التفسير وعلوم القرآن
ما هي الآيات التي تتحدث عن موضوع الوصية؟,"ومن يرغب عن ملة إبراهيم إلا من سفه نفسه ولقد اصطفيناه في الدنيا وإنه في الآخرة لمن الصالحين. إذ قال له ربه أسلم قال أسلمت لرب العالمين. ووصى بها إبراهيم بنيه ويعقوب يا بني إن الله اصطفى لكم الدين فلا تموتن إلا وأنتم مسلمون. أم كنتم شهداء إذ حضر يعقوب الموت إذ قال لبنيه ما تعبدون من بعدي قالوا نعبد إلهك وإله آبائك إبراهيم وإسماعيل وإسحاق إلها واحدا ونحن له مسلمون. تلك أمة قد خلت لها ما كسبت ولكم ما كسبتم ولا تسألون عما كانوا يعملون.

الإجابة: ووصى بها إبراهيم بنيه ويعقوب يا بني إن الله اصطفى لكم الدين فلا تموتن إلا وأنتم مسلمون",التفسير وعلوم القرآن
من هو ذو القرنين؟,"ويسألونك عن ذي القرنين قل سأتلو عليكم منه ذكرا. إنا مكنا له في الأرض وآتيناه من كل شيء سببا. فأتبع سببا. حتى إذا بلغ مغرب الشمس وجدها تغرب في عين حمئة ووجد عندها قوما قلنا يا ذا القرنين إما أن تعذب وإما أن تتخذ فيهم حسنا. قال أما من ظلم فسوف نعذبه ثم يرد إلى ربه فيعذبه عذابا نكرا. وأما من آمن وعمل صالحا فله جزاء الحسنى وسنقول له من أمرنا يسرا. ثم أتبع سببا. حتى إذا بلغ مطلع الشمس وجدها تطلع على قوم لم نجعل لهم من دونها سترا. كذلك وقد أحطنا بما لديه خبرا. ثم أتبع سببا. حتى إذا بلغ بين السدين وجد من دونهما قوما لا يكادون يفقهون قولا. قالوا يا ذا القرنين إن يأجوج ومأجوج مفسدون في الأرض فهل نجعل لك خرجا على أن تجعل بيننا وبينهم سدا. قال ما مكني فيه ربي خير فأعينوني بقوة أجعل بينكم وبينهم ردما. آتوني زبر الحديد حتى إذا ساوى بين الصدفين قال انفخوا حتى إذا جعله نارا قال آتوني أفرغ عليه قطرا. فما اسطاعوا أن يظهروه وما استطاعوا له نقبا. قال هذا رحمة من ربي فإذا جاء وعد ربي جعله دكاء وكان وعد ربي حقا.

الإجابة: إنا مكنا له في الأرض وآتيناه من كل شيء سببا",التاريخ والسيرة
ما الدلائل على أن القرآن ليس من تأليف سيدنا محمد (ص)؟,"الم. ذلك الكتاب لا ريب فيه هدى للمتقين. الذين يؤمنون بالغيب ويقيمون الصلاة ومما رزقناهم ينفقون. والذين يؤمنون بما أنزل إليك وما أنزل من قبلك وبالآخرة هم يوقنون. أولئك على هدى من ربهم وأولئك هم المفلحون.

الإجابة: الذين يؤمنون بما أنزل إليك وما أنزل من قبلك",العقيدة
على من تجوز الصدقة؟,"ليس البر أن تولوا وجوهكم قبل المشرق والمغرب ولكن البر من آمن بالله واليوم الآخر والملائكة والكتاب والنبيين وآتى المال على حبه ذوي القربى واليتامى والمساكين وابن السبيل والسائلين وفي الرقاب وأقام الصلاة وآتى الزكاة والموفون بعهدهم إذا عاهدوا والصابرين في البأساء والضراء وحين البأس أولئك الذين صدقوا وأولئك هم المتقون.

الإجابة: ذوي القربى",الفقه وأصوله
كم دامت دعوة نوح لقومه؟,"ولقد أرسلنا نوحا إلى قومه فلبث فيهم ألف سنة إلا خمسين عاما فأخذهم الطوفان وهم ظالمون. فأنجيناه وأصحاب السفينة وجعلناها آية للعالمين. وإبراهيم إذ قال لقومه اعبدوا الله واتقوه ذلكم خير لكم إن كنتم تعلمون. إنما تعبدون من دون الله أوثانا وتخلقون إفكا إن الذين تعبدون من دون الله لا يملكون لكم رزقا فابتغوا عند الله الرزق واعبدوه واشكروا له إليه ترجعون. وإن تكذبوا فقد كذب أمم من قبلكم وما على الرسول إلا البلاغ المبين.

الإجابة: ألف سنة إلا خمسين عاما",التاريخ والسيرة
ما الدلائل على أن المسيح لم يصلب؟,"يسألك أهل الكتاب أن تنزل عليهم كتابا من السماء فقد سألوا موسى أكبر من ذلك فقالوا أرنا الله جهرة فأخذتهم الصاعقة بظلمهم ثم اتخذوا العجل من بعد ما جاءتهم البينات فعفونا عن ذلك وآتينا موسى سلطانا مبينا. ورفعنا فوقهم الطور بميثاقهم وقلنا لهم ادخلوا الباب سجدا وقلنا لهم لا تعدوا في السبت وأخذنا منهم ميثاقا غليظا. فبما نقضهم ميثاقهم وكفرهم بآيات الله وقتلهم الأنبياء بغير حق وقولهم قلوبنا غلف بل طبع الله عليها بكفرهم فلا يؤمنون إلا قليلا. وبكفرهم وقولهم على مريم بهتانا عظيما. وقولهم إنا قتلنا المسيح عيسى ابن مريم رسول الله وما قتلوه وما صلبوه ولكن شبه لهم وإن الذين اختلفوا فيه لفي شك منه ما لهم به من علم إلا اتباع الظن وما قتلوه يقينا. بل رفعه الله إليه وكان الله عزيزا حكيما. وإن من أهل الكتاب إلا ليؤمنن به قبل موته ويوم القيامة يكون عليهم شهيدا. فبظلم من الذين هادوا حرمنا عليهم طيبات أحلت لهم وبصدهم عن سبيل الله كثيرا. وأخذهم الربا وقد نهوا عنه وأكلهم أموال الناس بالباطل وأعتدنا للكافرين منهم عذابا أليما.

الإجابة: ما قتلوه وما صلبوه ولكن شبه لهم وإن الذين اختلفوا فيه لفي شك منه ما لهم به من علم إلا اتباع الظن وما قتلوه يقينا. بل رفعه الله إليه",العقيدة
هل الإسلام دين سلام؟,"يا أيها الذين آمنوا ادخلوا في السلم كافة ولا تتبعوا خطوات الشيطان إنه لكم عدو مبين. فإن زللتم من بعد ما جاءتكم البينات فاعلموا أن الله عزيز حكيم. هل ينظرون إلا أن يأتيهم الله في ظلل من الغمام والملائكة وقضي الأمر وإلى الله ترجع الأمور.

الإجابة: يا أيها الذين آمنوا ادخلوا في السلم كافة",العقيدة
ما هي عقوبة القتل خطئا؟,"وما كان لمؤمن أن يقتل مؤمنا إلا خطأ ومن قتل مؤمنا خطأ فتحرير رقبة مؤمنة ودية مسلمة إلى أهله إلا أن يصدقوا فإن كان من قوم عدو لكم وهو مؤمن فتحرير رقبة مؤمنة وإن كان من قوم بينكم وبينهم ميثاق فدية مسلمة إلى أهله وتحرير رقبة مؤمنة فمن لم يجد فصيام شهرين متتابعين توبة من الله وكان الله عليما حكيما. ومن يقتل مؤمنا متعمدا فجزاؤه جهنم خالدا فيها وغضب الله عليه ولعنه وأعد له عذابا عظيما.

الإجابة: من قتل مؤمنا خطأ فتحرير رقبة مؤمنة ودية مسلمة إلى أهله إلا أن يصدقوا فإن كان من قوم عدو لكم وهو مؤمن فتحرير رقبة مؤمنة وإن كان من قوم بينكم وبينهم ميثاق فدية مسلمة إلى أهله وتحرير رقبة مؤمنة فمن لم يجد فصيام شهرين متتابعين توبة من الله",العقيدة
هل تجوز شهادة أربعة نساء بدلا من رجلين في الأمور المالية أو ما هو متعلق بالأمور المالية؟,"يا أيها الذين آمنوا إذا تداينتم بدين إلى أجل مسمى فاكتبوه وليكتب بينكم كاتب بالعدل ولا يأب كاتب أن يكتب كما علمه الله فليكتب وليملل الذي عليه الحق وليتق الله ربه ولا يبخس منه شيئا فإن كان الذي عليه الحق سفيها أو ضعيفا أو لا يستطيع أن يمل هو فليملل وليه بالعدل واستشهدوا شهيدين من رجالكم فإن لم يكونا رجلين فرجل وامرأتان ممن ترضون من الشهداء أن تضل إحداهما فتذكر إحداهما الأخرى ولا يأب الشهداء إذا ما دعوا ولا تسأموا أن تكتبوه صغيرا أو كبيرا إلى أجله ذلكم أقسط عند الله وأقوم للشهادة وأدنى ألا ترتابوا إلا أن تكون تجارة حاضرة تديرونها بينكم فليس عليكم جناح ألا تكتبوها وأشهدوا إذا تبايعتم ولا يضار كاتب ولا شهيد وإن تفعلوا فإنه فسوق بكم واتقوا الله ويعلمكم الله والله بكل شيء عليم. وإن كنتم على سفر ولم تجدوا كاتبا فرهان مقبوضة فإن أمن بعضكم بعضا فليؤد الذي اؤتمن أمانته وليتق الله ربه ولا تكتموا الشهادة ومن يكتمها فإنه آثم قلبه والله بما تعملون عليم.

الإجابة: استشهدوا شهيدين من رجالكم فإن لم يكونا رجلين فرجل وامرأتان ممن ترضون من الشهداء",العقيدة
ما هي شجرة الزقوم؟,"أذلك خير نزلا أم شجرة الزقوم. إنا جعلناها فتنة للظالمين. إنها شجرة تخرج في أصل الجحيم. طلعها كأنه رءوس الشياطين. فإنهم لآكلون منها فمالئون منها البطون. ثم إن لهم عليها لشوبا من حميم. ثم إن مرجعهم لإلى الجحيم. إنهم ألفوا آباءهم ضالين. فهم على آثارهم يهرعون. ولقد ضل قبلهم أكثر الأولين. ولقد أرسلنا فيهم منذرين. فانظر كيف كان عاقبة المنذرين. إلا عباد الله المخلصين.

الإجابة: إنها شجرة تخرج في أصل الجحيم. طلعها كأنه رءوس الشياطين. فإنهم لآكلون منها فمالئون منها البطون",التفسير وعلوم القرآن
ما هي شروط الشفاعة؟,"الله لا إله إلا هو الحي القيوم لا تأخذه سنة ولا نوم له ما في السماوات وما في الأرض من ذا الذي يشفع عنده إلا بإذنه يعلم ما بين أيديهم وما خلفهم ولا يحيطون بشيء من علمه إلا بما شاء وسع كرسيه السماوات والأرض ولا يئوده حفظهما وهو العلي العظيم.

الإجابة: من ذا الذي يشفع عنده إلا بإذنه",الفقه وأصوله
ما هي قصة تسعة رهط؟,"ولقد أرسلنا إلى ثمود أخاهم صالحا أن اعبدوا الله فإذا هم فريقان يختصمون. قال يا قوم لم تستعجلون بالسيئة قبل الحسنة لولا تستغفرون الله لعلكم ترحمون. قالوا اطيرنا بك وبمن معك قال طائركم عند الله بل أنتم قوم تفتنون. وكان في المدينة تسعة رهط يفسدون في الأرض ولا يصلحون. قالوا تقاسموا بالله لنبيتنه وأهله ثم لنقولن لوليه ما شهدنا مهلك أهله وإنا لصادقون. ومكروا مكرا ومكرنا مكرا وهم لا يشعرون. فانظر كيف كان عاقبة مكرهم أنا دمرناهم وقومهم أجمعين. فتلك بيوتهم خاوية بما ظلموا إن في ذلك لآية لقوم يعلمون. وأنجينا الذين آمنوا وكانوا يتقون.

الإجابة: كان في المدينة تسعة رهط يفسدون في الأرض ولا يصلحون. قالوا تقاسموا بالله لنبيتنه وأهله ثم لنقولن لوليه ما شهدنا مهلك أهله وإنا لصادقون. ومكروا مكرا ومكرنا مكرا وهم لا يشعرون",قضايا اجتماعية ونفسية
ما هو ميراث الام عن ولدها إن لم يكن له ولد؟,"يوصيكم الله في أولادكم للذكر مثل حظ الأنثيين فإن كن نساء فوق اثنتين فلهن ثلثا ما ترك وإن كانت واحدة فلها النصف ولأبويه لكل واحد منهما السدس مما ترك إن كان له ولد فإن لم يكن له ولد وورثه أبواه فلأمه الثلث فإن كان له إخوة فلأمه السدس من بعد وصية يوصي بها أو دين آباؤكم وأبناؤكم لا تدرون أيهم أقرب لكم نفعا فريضة من الله إن الله كان عليما حكيما. ولكم نصف ما ترك أزواجكم إن لم يكن لهن ولد فإن كان لهن ولد فلكم الربع مما تركن من بعد وصية يوصين بها أو دين ولهن الربع مما تركتم إن لم يكن لكم ولد فإن كان لكم ولد فلهن الثمن مما تركتم من بعد وصية توصون بها أو دين وإن كان رجل يورث كلالة أو امرأة وله أخ أو أخت فلكل واحد منهما السدس فإن كانوا أكثر من ذلك فهم شركاء في الثلث من بعد وصية يوصى بها أو دين غير مضار وصية من الله والله عليم حليم.

الإجابة: فإن لم يكن له ولد وورثه أبواه فلأمه الثلث",الفقه وأصوله
هل أشار القرآن إلى العضو الذي يعقل به الإنسان؟,"ويوم نحشرهم جميعا ثم نقول للذين أشركوا أين شركاؤكم الذين كنتم تزعمون. ثم لم تكن فتنتهم إلا أن قالوا والله ربنا ما كنا مشركين. انظر كيف كذبوا على أنفسهم وضل عنهم ما كانوا يفترون. ومنهم من يستمع إليك وجعلنا على قلوبهم أكنة أن يفقهوه وفي آذانهم وقرا وإن يروا كل آية لا يؤمنوا بها حتى إذا جاءوك يجادلونك يقول الذين كفروا إن هذا إلا أساطير الأولين. وهم ينهون عنه وينأون عنه وإن يهلكون إلا أنفسهم وما يشعرون.

الإجابة: جعلنا على قلوبهم أكنة أن يفقهوه",العقيدة
